Date,Event
26-Aug-24,Classes Start
2-Sep-24,Holiday/Break
11-Nov-24,Holiday/Break
25-Nov-24,Holiday/Break
26-Nov-24,Holiday/Break
27-Nov-24,Holiday/Break
28-Nov-24,Holiday/Break
29-Nov-24,Holiday/Break
11-Dec-24,Classes End
12-Dec-24,Finals
13-Dec-24,Finals
14-Dec-24,Finals
15-Dec-24,Finals
16-Dec-24,Finals
17-Dec-24,Finals
18-Dec-24,Finals
21-Jan-25,Classes Start
31-Mar-25,Holiday/Break
1-Apr-25,Holiday/Break
2-Apr-25,Holiday/Break
3-Apr-25,Holiday/Break
4-Apr-25,Holiday/Break
9-May-25,Classes End
12-May-25,Finals
13-May-25,Finals
14-May-25,Finals
15-May-25,Finals
16-May-25,Finals
17-May-25,Finals
